Time,Ttest,TH,TM
0.00000,24.25000,169.31000,23.50000
0.00000,24.25000,169.31000,23.50000
0.00000,24.25000,169.31000,23.50000
0.00000,24.25000,169.31000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.38000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.44000,23.50000
0.00000,24.25000,169.50000,23.50000
0.00000,24.25000,169.50000,23.50000
0.00000,24.25000,169.50000,23.50000
0.00000,24.25000,169.50000,23.50000
0.00000,24.25000,169.50000,23.50000
0.00000,24.25000,169.50000,23.50000
0.00000,24.25000,169.50000,23.50000
0.00994,24.25000,169.50000,23.50000
0.01099,24.25000,169.50000,23.50000
1.14362,24.25000,171.06000,23.50000
1.16856,24.25000,171.06000,23.50000
1.19625,24.25000,171.06000,23.50000
1.21721,24.25000,171.06000,23.50000
1.24670,24.25000,171.06000,23.50000
1.26830,24.25000,171.06000,23.50000
1.29909,24.25000,171.06000,23.50000
1.32157,24.25000,171.06000,23.50000
1.35270,24.25000,171.06000,23.50000
1.37807,24.25000,171.06000,23.50000
1.40128,24.25000,171.06000,23.50000
1.43108,24.25000,171.06000,23.50000
1.45633,24.25000,171.38000,23.50000
1.47672,24.56000,171.38000,23.62000
1.50954,24.56000,171.38000,23.62000
1.53391,24.56000,171.38000,23.62000
1.55886,24.56000,171.38000,23.62000
1.58634,24.56000,171.38000,23.62000
1.61264,24.56000,171.38000,23.62000
1.63326,24.56000,171.38000,23.62000
1.66464,24.56000,171.38000,23.62000
1.69022,24.56000,171.38000,23.62000
1.71026,24.56000,171.38000,23.62000
1.74336,24.56000,171.38000,23.62000
