Time,voltage,current,power,TH
0.001,28.359,2.2251,63.1016109,25.5
0.31063,28.345,2.2014,62.398683,25.5
0.7104,28.339,2.1807,61.7988573,25.56
1.09637,28.336,2.1619,61.2595984,25.75
1.50007,28.338,2.1445,60.770841,26
1.90464,28.344,2.1283,60.3245352,26.69
2.29167,28.352,2.1131,59.9106112,27.06
2.69518,28.364,2.0988,59.5303632,27.5
3.0842,28.376,2.0851,59.1667976,28.06
3.48764,28.388,2.072,58.819936,29.25
3.89078,28.4,2.0593,58.48412,29.94
4.28319,28.414,2.0472,58.1691408,30.69
4.67378,28.429,2.0355,57.8672295,32.25
5.07692,28.444,2.0242,57.5763448,33
5.48263,28.458,2.0132,57.2916456,33.88
5.87326,28.472,2.0025,57.01518,35.56
6.2755,28.485,1.992,56.74212,36.31
6.6658,28.5,1.9819,56.48415,37.25
7.0711,28.515,1.9721,56.2344315,38.19
7.46639,28.529,1.9624,55.9853096,39.88
7.85591,28.542,1.953,55.742526,40.88
8.2588,28.555,1.9437,55.5023535,41.75
8.649,28.569,1.9346,55.2695874,43.5
9.0529,28.582,1.9258,55.0432156,44.56
9.45291,28.596,1.9172,54.8242512,45.5
9.84151,28.608,1.9086,54.6012288,47.31
10.24362,28.62,1.9003,54.386586,48.38
10.64925,28.633,1.8921,54.1764993,49.31
11.04191,28.645,1.8841,53.9700445,50.31
11.44605,28.658,1.8763,53.7710054,52.38
11.83355,28.67,1.8685,53.569895,53.38
12.23906,28.681,1.8608,53.3696048,54.38
12.62653,28.691,1.8533,53.1730303,56.5
13.03051,28.703,1.846,52.985738,57.56
13.41951,28.714,1.8388,52.7993032,58.56
13.82452,28.725,1.8317,52.6155825,60.75
14.2146,28.735,1.8247,52.4327545,61.75
14.61687,28.745,1.8178,52.252661,62.69
15.01839,28.756,1.811,52.077116,63.69
15.40753,28.766,1.8044,51.9053704,65.56
15.81334,28.777,1.7978,51.7352906,66.44
16.21371,28.787,1.7913,51.5661531,67.37
16.611,28.796,1.7849,51.3979804,69.12
17.01154,28.806,1.7786,51.2343516,69.94
17.39982,28.815,1.7725,51.0745875,70.81
17.80261,28.825,1.7664,50.91648,72.44
18.19233,28.833,1.7603,50.7547299,73.19
18.59729,28.842,1.7544,50.6004048,74.06
18.98653,28.85,1.7485,50.444225,75.56
19.3908,28.859,1.7428,50.2954652,76.31
19.79469,28.868,1.7371,50.1466028,77.12
20.18269,28.877,1.7315,50.0005255,78.62
20.58979,28.885,1.726,49.85551,79.31
20.98165,28.893,1.7205,49.7104065,80.06
21.381,28.901,1.7151,49.5681051,80.75
21.7713,28.91,1.7098,49.430318,82
22.17592,28.918,1.7046,49.2936228,82.75
22.56425,28.925,1.6994,49.155145,83.37
22.96832,28.933,1.6942,49.0182886,84.62
23.37245,28.94,1.6892,48.885448,85.31
23.76397,28.948,1.6843,48.7571164,85.94
24.16862,28.956,1.6794,48.6287064,87.12
24.5568,28.963,1.6745,48.4985435,87.75
24.96246,28.97,1.6696,48.368312,88.37
25.35059,28.977,1.6649,48.2438073,88.94
25.75488,28.984,1.6603,48.1221352,90.12
26.15601,28.992,1.6556,47.9991552,90.75
26.545,28.998,1.6511,47.8785978,91.31
26.94727,29.005,1.6465,47.7567325,92.37
27.3358,29.011,1.6421,47.6389631,92.94
27.74034,29.018,1.6377,47.5227786,93.5
28.12992,29.025,1.6333,47.4065325,94
28.53246,29.031,1.629,47.291499,95.12
28.93745,29.038,1.6247,47.1780386,95.62
29.32857,29.044,1.6205,47.065802,96.25
29.7217,29.05,1.6164,46.95642,97.44
30.12659,29.056,1.6123,46.8469888,97.94
30.52862,29.062,1.6082,46.7375084,98.56
30.91731,29.069,1.6042,46.6324898,99.75
31.32523,29.074,1.6002,46.5242148,100.25
31.71242,29.08,1.5963,46.420404,100.87
32.11579,29.085,1.5924,46.314954,102
32.50435,29.091,1.5886,46.2139626,102.5
32.90836,29.097,1.5848,46.1129256,103.19
33.31341,29.102,1.581,46.010262,103.75
33.70121,29.108,1.5773,45.9120484,104.81
34.10012,29.114,1.5736,45.8137904,105.44
34.50422,29.119,1.57,45.71683,106
34.90124,29.124,1.5664,45.6198336,107
35.28862,29.129,1.5628,45.5228012,107.56
35.69221,29.134,1.5593,45.4286462,108.12
36.0947,29.139,1.5558,45.3344562,109.19
36.48326,29.145,1.5524,45.244698,109.69
36.8895,29.15,1.549,45.15335,110.25
37.27627,29.155,1.5456,45.061968,111.19
37.68181,29.16,1.5422,44.970552,111.75
38.08435,29.165,1.5389,44.8820185,112.25
38.47254,29.169,1.5356,44.7919164,112.75
38.87588,29.174,1.5324,44.7062376,113.75
39.26374,29.179,1.5292,44.6205268,114.25
39.667,29.184,1.526,44.534784,114.75
40.06986,29.188,1.5228,44.4474864,115.69
40.46016,29.193,1.5197,44.3646021,116.19
40.86384,29.197,1.5166,44.2801702,116.62
41.2527,29.202,1.5137,44.2030674,117.06
41.65359,29.206,1.5107,44.1215042,118.12
42.05851,29.21,1.5079,44.045759,118.75
42.4481,29.215,1.505,43.968575,119.37
42.85176,29.219,1.5022,43.8927818,121.25
43.24167,29.223,1.4994,43.8169662,122.19
43.64538,29.227,1.4966,43.7411282,123.25
44.0474,29.231,1.4938,43.6652678,125.87
44.43668,29.235,1.4911,43.5923085,127.19
44.83503,29.238,1.4884,43.5178392,128.56
45.23733,29.242,1.4857,43.4448394,132
45.62755,29.246,1.483,43.371818,133.63
46.03167,29.25,1.4804,43.3017,135.13
46.43466,29.254,1.4778,43.2315612,136.81
46.82786,29.258,1.4752,43.1614016,139.81
47.21468,29.261,1.4726,43.0897486,141.38
47.61918,29.265,1.47,43.01955,142.81
48.02497,29.269,1.4675,42.9522575,145.38
48.41372,29.272,1.465,42.88348,146.69
48.81572,29.276,1.4625,42.81615,147.88
49.21654,29.28,1.4601,42.751728,150
49.60082,29.284,1.4576,42.6843584,151.13
50.00325,29.287,1.4552,42.6184424,152.19
50.40357,29.29,1.4528,42.552512,154.06
50.79748,29.294,1.4504,42.4880176,155
51.19988,29.297,1.448,42.422056,155.94
51.60329,29.3,1.4457,42.35901,157.63
51.99523,29.303,1.4434,42.2959502,158.5
52.38481,29.306,1.4411,42.2328766,159.44
52.78736,29.31,1.4388,42.171228,160.31
53.18935,29.313,1.4366,42.1110558,162
53.57698,29.316,1.4343,42.0479388,162.81
53.98283,29.319,1.4321,41.9877399,163.63
54.38212,29.322,1.4299,41.9275278,165.31
54.76956,29.326,1.4277,41.8687302,166.19
55.1733,29.329,1.4255,41.8084895,166.94
55.5791,29.332,1.4234,41.7511688,167.63
55.96767,29.335,1.4212,41.690902,169.19
56.3739,29.338,1.4191,41.6335558,169.88
56.76051,29.341,1.417,41.576197,170.56
57.16977,29.344,1.4149,41.5188256,172.06
57.55961,29.347,1.4129,41.4643763,172.75
57.96343,29.35,1.4108,41.40698,173.38
58.35368,29.353,1.4088,41.3525064,174.75
58.75389,29.355,1.4068,41.296614,175.44
59.1586,29.358,1.4048,41.2421184,176.06
59.54858,29.361,1.4028,41.1876108,177.5
59.94958,29.364,1.4008,41.1330912,178.13
60.33857,29.367,1.3989,41.0814963,178.75
60.74169,29.369,1.3969,41.0255561,180.13
61.14278,29.372,1.395,40.97394,180.75
61.53504,29.375,1.3931,40.9223125,181.31
61.93875,29.377,1.3912,40.8692824,181.94
62.32465,29.38,1.3893,40.817634,183.13
62.72999,29.383,1.3875,40.7689125,183.75
63.13169,29.386,1.3856,40.7172416,184.38
63.52099,29.389,1.3838,40.6684982,185.5
63.92164,29.391,1.382,40.618362,186
64.32379,29.394,1.3801,40.5666594,186.63
64.72277,29.397,1.3784,40.5208248,187.69
65.10885,29.399,1.3766,40.4706634,188.19
65.51229,29.402,1.3748,40.4218696,188.81
65.91606,29.404,1.3731,40.3746324,189.38
66.30327,29.406,1.3713,40.3244478,190.5
66.70773,29.409,1.3696,40.2785664,191.06
67.11099,29.411,1.3679,40.2313069,191.56
