Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3
0.00925,11.99100,0.83960,111.62000,98.19000,23.87000,63.38000,45.44000
0.28978,13.72800,0.83840,111.50000,98.06000,23.87000,63.38000,45.44000
0.69270,13.72600,0.83750,111.37000,97.94000,23.87000,63.38000,45.44000
1.08847,13.72500,0.83650,111.12000,97.87000,23.87000,63.38000,45.44000
1.47592,13.72400,0.83560,111.00000,97.81000,23.87000,63.38000,45.38000
1.87660,13.72400,0.83480,110.94000,97.75000,23.81000,63.38000,45.38000
2.28144,13.72400,0.83410,110.81000,97.50000,23.81000,63.38000,45.44000
2.68082,13.72400,0.83330,110.75000,97.37000,23.81000,63.38000,45.44000
3.07038,13.72400,0.83260,110.75000,97.31000,23.81000,63.38000,45.44000
3.46909,13.72400,0.83190,110.75000,97.25000,23.81000,63.38000,45.44000
3.87694,13.72500,0.83120,110.75000,97.19000,23.81000,63.38000,45.44000
4.26596,13.72500,0.83060,110.81000,97.12000,23.81000,63.38000,45.38000
4.66653,13.72500,0.82990,110.94000,97.06000,23.81000,63.38000,45.38000
5.07535,13.72600,0.82930,111.00000,97.06000,23.81000,63.38000,45.38000
5.46559,13.72600,0.82870,111.12000,96.94000,23.81000,63.38000,45.38000
5.86616,13.72700,0.82810,111.25000,96.87000,23.81000,63.38000,45.38000
6.26522,13.72700,0.82740,111.31000,96.81000,23.87000,63.38000,45.38000
6.66440,13.72800,0.82690,111.44000,96.81000,23.87000,63.38000,45.38000
7.06388,13.72900,0.82640,111.56000,96.75000,23.87000,63.38000,45.44000
7.46122,13.72900,0.82580,111.81000,96.69000,23.87000,63.38000,45.44000
7.86085,13.73000,0.82530,111.87000,96.69000,23.87000,63.38000,45.44000
8.25039,13.73000,0.82460,112.00000,96.69000,23.87000,63.38000,45.44000
8.64902,13.73100,0.82410,112.25000,96.69000,23.87000,63.38000,45.44000
9.04775,13.73100,0.82360,112.31000,96.69000,23.87000,63.38000,45.44000
9.44849,13.73200,0.82310,112.44000,96.69000,23.87000,63.38000,45.44000
9.84641,13.73300,0.82250,112.62000,96.62000,23.81000,63.38000,45.44000
10.24638,13.73300,0.82200,112.75000,96.62000,23.81000,63.38000,45.44000
10.64871,13.73400,0.82150,112.87000,96.56000,23.81000,63.38000,45.44000
11.04725,13.73400,0.82110,113.12000,96.56000,23.81000,63.38000,45.44000
11.44596,13.73500,0.82060,113.25000,96.56000,23.81000,63.38000,45.44000
11.84580,13.73500,0.82010,113.37000,96.56000,23.81000,63.38000,45.50000
12.23476,13.73600,0.81960,113.50000,96.56000,23.81000,63.38000,45.44000
12.63316,13.73700,0.81920,113.75000,96.56000,23.87000,63.38000,45.44000
13.03261,13.73700,0.81870,113.94000,96.56000,23.87000,63.38000,45.44000
13.43245,13.73800,0.81820,114.06000,96.56000,23.87000,63.38000,45.44000
