Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3
0.00428,0.00000,0.57700,25.75000,24.81000,22.56000,19.25000,19.19000
0.14173,28.37600,2.23210,25.75000,24.81000,22.56000,19.25000,19.19000
0.34451,28.38800,2.21960,25.75000,24.81000,22.56000,19.25000,19.19000
0.54643,28.38100,2.20810,25.75000,24.81000,22.56000,19.25000,19.19000
0.74835,28.37600,2.19750,25.75000,24.81000,22.56000,19.25000,19.19000
0.93526,28.37300,2.18750,25.75000,24.81000,22.56000,19.25000,19.19000
1.13663,28.37300,2.17800,25.81000,24.81000,22.56000,19.25000,19.19000
1.33820,28.37400,2.16880,25.81000,24.81000,22.56000,19.25000,19.19000
1.53900,28.37500,2.16010,25.94000,24.81000,22.56000,19.25000,19.19000
1.74165,28.37800,2.15160,26.19000,24.81000,22.56000,19.25000,19.19000
1.94439,28.38000,2.14340,26.19000,24.81000,22.56000,19.25000,19.19000
2.13157,28.38400,2.13550,26.50000,24.81000,22.56000,19.25000,19.19000
2.33509,28.39000,2.12790,26.94000,24.81000,22.56000,19.25000,19.19000
2.53789,28.39500,2.12040,26.94000,24.81000,22.56000,19.25000,19.19000
2.74069,28.40000,2.11310,27.44000,24.81000,22.56000,19.25000,19.19000
2.92727,28.40600,2.10600,27.94000,24.81000,22.56000,19.31000,19.19000
3.12887,28.41100,2.09910,27.94000,24.81000,22.56000,19.31000,19.19000
3.33067,28.41700,2.09230,28.44000,24.81000,22.56000,19.31000,19.19000
3.53286,28.42300,2.08560,28.44000,24.81000,22.56000,19.31000,19.19000
3.73427,28.42900,2.07910,29.19000,24.81000,22.62000,19.31000,19.19000
3.92074,28.43500,2.07270,29.87000,24.81000,22.62000,19.31000,19.19000
4.12174,28.44200,2.06650,30.62000,24.81000,22.69000,19.31000,19.19000
4.32274,28.44900,2.06030,30.62000,24.81000,22.69000,19.31000,19.19000
4.52473,28.45500,2.05430,31.31000,24.81000,22.75000,19.31000,19.19000
4.72804,28.46200,2.04830,31.31000,24.81000,22.81000,19.31000,19.19000
4.92955,28.46900,2.04250,32.13000,24.81000,22.81000,19.31000,19.19000
5.11687,28.47600,2.03680,32.94000,24.81000,22.87000,19.31000,19.19000
5.31967,28.48300,2.03110,32.94000,24.81000,22.94000,19.31000,19.19000
