Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3,FlipEvent
0.00211,29.37300,1.36100,205.88000,23.94000,73.50000,18.31000,22.06000,0
0.29521,29.37500,1.35970,206.13000,23.87000,73.62000,18.19000,22.06000,0
0.69957,29.37600,1.35840,206.25000,23.87000,73.75000,18.19000,22.00000,0
1.09766,29.37700,1.35710,206.38000,23.87000,73.87000,18.19000,21.87000,0
1.49519,29.37900,1.35580,206.69000,23.87000,74.19000,18.19000,21.81000,0
1.88541,29.38000,1.35440,206.88000,23.81000,74.31000,18.19000,21.75000,0
2.28603,29.38100,1.35320,207.13000,23.81000,74.44000,18.19000,21.69000,0
2.68651,29.38300,1.35190,207.44000,23.81000,74.62000,18.19000,21.56000,0
3.08681,29.38500,1.35070,207.69000,23.81000,74.87000,18.19000,21.50000,0
3.48659,29.38600,1.34950,207.88000,23.81000,75.06000,18.19000,21.44000,0
3.88677,29.38800,1.34830,208.06000,23.81000,75.31000,18.19000,21.37000,0
4.28465,29.38900,1.34710,208.56000,23.81000,75.56000,18.19000,21.37000,0
4.67400,29.39100,1.34590,208.75000,23.81000,76.00000,18.19000,21.37000,0
5.07181,29.39200,1.34480,208.94000,23.81000,76.19000,18.19000,21.37000,0
5.48046,29.39400,1.34360,209.38000,23.81000,76.50000,18.19000,21.37000,0
5.87995,29.39600,1.34250,209.63000,23.81000,76.75000,18.19000,21.25000,0
6.27068,29.39700,1.34130,209.81000,23.81000,77.19000,18.19000,21.25000,0
6.67077,29.39800,1.34020,210.31000,23.81000,77.44000,18.19000,21.25000,0
7.06987,29.40000,1.33920,210.50000,23.81000,77.69000,18.19000,21.25000,0
7.46876,29.40100,1.33810,210.69000,23.81000,78.06000,18.19000,21.19000,0
7.86967,29.40200,1.33710,210.94000,23.81000,78.25000,18.19000,21.12000,0
8.27051,29.40400,1.33610,211.31000,23.81000,78.44000,18.19000,21.12000,0
8.66013,29.40500,1.33510,211.50000,23.81000,78.62000,18.19000,21.06000,0
9.05976,29.40600,1.33400,211.63000,23.87000,79.06000,18.19000,21.00000,0
9.45973,29.40700,1.33300,212.00000,23.94000,79.25000,18.19000,21.00000,0
9.86064,29.40800,1.33200,212.19000,23.94000,79.44000,18.19000,21.00000,0
10.25926,29.41000,1.33100,212.38000,23.94000,79.69000,18.19000,20.94000,0
10.66047,29.41100,1.33000,212.88000,23.94000,80.06000,18.19000,20.87000,0
11.04985,29.41200,1.32900,213.13000,23.94000,80.31000,18.19000,20.81000,0
11.44945,29.41400,1.32810,213.31000,23.94000,80.56000,18.19000,20.81000,0
11.84921,29.41600,1.32710,213.81000,23.94000,80.69000,18.19000,20.81000,0
12.24551,29.41600,1.32610,214.00000,23.94000,81.19000,18.19000,20.75000,0
12.64569,29.41900,1.32520,214.25000,23.87000,81.44000,18.19000,20.75000,0
13.04588,29.41900,1.32420,214.50000,23.87000,81.69000,18.19000,20.75000,0
13.44496,29.42100,1.32370,214.88000,23.87000,81.94000,18.19000,20.75000,0
13.84468,29.49300,1.32600,215.19000,23.87000,82.44000,18.19000,20.62000,0
14.24453,29.50400,1.32500,215.44000,23.87000,82.69000,18.19000,20.62000,0
14.64310,29.50500,1.32400,215.81000,23.87000,82.94000,18.19000,20.62000,0
15.04364,29.50600,1.32320,216.06000,23.87000,83.31000,18.19000,20.56000,0
15.43306,29.50800,1.32230,216.31000,23.87000,83.50000,18.19000,20.56000,0
15.84116,29.50900,1.32160,216.69000,23.87000,83.75000,18.19000,20.56000,0
16.23083,29.51200,1.32070,216.88000,23.87000,83.94000,18.19000,20.56000,0
16.63050,29.50700,1.31940,217.06000,23.87000,84.31000,18.19000,20.50000,0
17.03105,29.50400,1.31860,217.38000,23.87000,84.50000,18.19000,20.44000,0
17.43212,29.50600,1.31770,217.63000,23.87000,84.69000,18.19000,20.44000,0
17.83282,29.50600,1.31690,217.88000,23.87000,84.94000,18.19000,20.44000,0
18.22379,29.50800,1.31600,218.06000,23.87000,85.31000,18.19000,20.31000,0
18.62380,29.50900,1.31520,218.50000,23.87000,85.56000,18.19000,20.31000,0
19.02210,29.51000,1.31430,218.75000,23.87000,85.81000,18.19000,20.31000,0
19.41927,29.51100,1.31350,218.94000,23.87000,86.06000,18.19000,20.31000,0
19.81838,29.51200,1.31260,219.31000,23.87000,86.44000,18.19000,20.31000,0
20.21771,29.51300,1.31170,219.50000,23.87000,86.69000,18.19000,20.31000,0
20.61729,29.51400,1.31090,219.69000,23.87000,86.94000,18.19000,20.25000,0
21.01742,29.51600,1.31010,220.13000,23.87000,87.19000,18.19000,20.25000,0
21.41683,29.51700,1.30930,220.31000,23.87000,87.56000,18.19000,20.25000,0
21.81574,29.51800,1.30840,220.50000,23.87000,87.75000,18.19000,20.19000,0
22.21468,29.51900,1.30770,220.94000,23.87000,88.00000,18.19000,20.19000,0
22.61294,29.52000,1.30680,221.19000,23.87000,88.37000,18.19000,20.19000,0
23.01307,29.52100,1.30600,221.38000,23.87000,88.56000,18.19000,20.12000,0
23.40246,29.52200,1.30530,221.56000,23.87000,88.75000,18.19000,20.12000,0
23.81000,29.52300,1.30440,222.06000,23.87000,88.94000,18.19000,20.12000,0
24.20878,29.52400,1.30370,222.25000,23.87000,89.31000,18.19000,20.12000,0
24.59787,29.52500,1.30290,222.44000,23.87000,89.50000,18.19000,20.12000,0
24.99950,29.52600,1.30210,222.88000,23.87000,89.62000,18.19000,20.12000,0
25.40022,29.52700,1.30130,223.06000,23.87000,89.75000,18.19000,20.12000,0
25.79823,29.52800,1.30060,223.25000,23.87000,90.00000,18.19000,20.12000,0
26.19833,29.52900,1.29980,223.63000,23.87000,90.12000,18.19000,20.06000,0
26.59667,29.53000,1.29900,223.81000,23.87000,90.25000,18.19000,20.06000,0
26.99413,29.53100,1.29830,224.00000,23.87000,90.44000,18.19000,20.06000,0
27.39608,29.53200,1.29750,224.44000,23.87000,90.81000,18.19000,20.06000,0
27.79516,29.53300,1.29680,224.63000,23.87000,91.19000,18.19000,20.00000,0
28.18425,29.53400,1.29610,224.81000,23.81000,91.56000,18.19000,20.00000,0
28.58493,29.53500,1.29530,225.06000,23.81000,91.87000,18.19000,19.94000,0
28.98409,29.53600,1.29460,225.44000,23.81000,92.69000,18.19000,19.94000,0
29.38394,29.53700,1.29390,225.63000,23.81000,93.00000,18.19000,19.94000,0
29.78590,29.53800,1.29320,225.81000,23.81000,93.44000,18.19000,19.94000,0
30.17679,29.53900,1.29250,226.19000,23.81000,94.25000,18.19000,19.94000,0
30.57559,29.53900,1.29180,226.38000,23.81000,94.62000,18.19000,19.94000,0
30.97514,29.54000,1.29110,226.56000,23.81000,95.00000,18.19000,19.94000,0
31.37564,29.54100,1.29040,226.94000,23.81000,95.37000,18.19000,19.94000,0
31.77505,29.54200,1.28970,227.13000,23.81000,96.06000,18.19000,19.94000,0
