Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3,FlipEvent
0.00100,29.76600,1.14380,301.56000,23.44000,197.13000,23.00000,22.69000,0
0.29452,29.76200,1.14290,301.25000,23.44000,197.19000,23.00000,22.69000,0
0.69903,29.76000,1.14210,300.94000,23.44000,197.19000,23.00000,22.69000,0
1.08766,29.75900,1.14170,300.69000,23.44000,197.19000,23.00000,22.69000,0
1.29069,29.75700,1.14100,300.44000,23.44000,197.19000,23.00000,22.69000,0
1.69553,29.75600,1.14030,300.19000,23.44000,197.19000,23.00000,22.69000,0
2.08345,29.75500,1.14000,299.94000,23.44000,197.19000,23.00000,22.69000,0
2.28653,29.75500,1.13940,299.75000,23.44000,197.19000,23.00000,22.69000,0
2.67884,29.75400,1.13910,299.63000,23.44000,197.19000,23.00000,22.69000,0
2.87955,29.75400,1.13850,299.50000,23.44000,197.19000,23.00000,22.69000,0
3.28394,29.75300,1.13800,299.31000,23.44000,197.13000,23.00000,22.69000,0
3.67451,29.75300,1.13750,299.25000,23.44000,197.00000,23.00000,22.69000,0
4.07957,29.75300,1.13690,299.13000,23.44000,196.88000,23.00000,22.69000,0
4.48415,29.75300,1.13640,299.13000,23.44000,196.75000,23.00000,22.69000,0
4.86992,29.75400,1.13590,299.13000,23.44000,196.63000,23.00000,22.69000,0
5.27381,29.75400,1.13540,299.13000,23.44000,196.50000,23.00000,22.69000,0
5.66282,29.75400,1.13500,299.13000,23.44000,196.44000,23.00000,22.69000,0
6.06676,29.75500,1.13450,299.13000,23.44000,196.44000,23.00000,22.69000,0
6.47046,29.75500,1.13410,299.13000,23.44000,196.44000,23.00000,22.69000,0
6.86255,29.75500,1.13360,299.13000,23.44000,196.44000,23.00000,22.69000,0
7.26721,29.75500,1.13320,299.13000,23.44000,196.44000,23.00000,22.69000,0
7.65551,29.75600,1.13280,299.13000,23.44000,196.44000,23.00000,22.69000,0
8.06148,29.75600,1.13240,299.13000,23.44000,196.50000,23.00000,22.69000,0
8.45164,29.75700,1.13200,299.19000,23.44000,196.50000,23.00000,22.69000,0
8.85658,29.75700,1.13150,299.25000,23.44000,196.50000,23.00000,22.69000,0
9.26052,29.75800,1.13110,299.25000,23.44000,196.50000,23.00000,22.69000,0
9.64750,29.75800,1.13080,299.25000,23.44000,196.44000,23.00000,22.69000,0
10.05252,29.75800,1.13040,299.25000,23.44000,196.44000,23.00000,22.69000,0
10.44459,29.75900,1.13000,299.31000,23.44000,196.38000,23.00000,22.69000,0
10.84780,29.75900,1.12960,299.38000,23.44000,196.31000,23.00000,22.69000,0
11.23651,29.75900,1.12920,299.44000,23.44000,196.19000,23.00000,22.69000,0
11.64056,29.75900,1.12890,299.50000,23.44000,196.06000,23.00000,22.69000,0
12.04543,29.76000,1.12850,299.56000,23.44000,196.00000,23.00000,22.69000,0
12.43606,29.76000,1.12820,299.69000,23.44000,195.94000,23.00000,22.69000,0
12.84050,29.76000,1.12780,299.75000,23.44000,195.81000,23.00000,22.69000,0
13.22823,29.76000,1.12750,299.81000,23.44000,195.75000,23.00000,22.69000,0
13.63179,29.76100,1.12710,299.94000,23.44000,195.75000,23.00000,22.69000,0
14.03590,29.76100,1.12680,300.00000,23.44000,195.75000,23.00000,22.69000,0
14.42455,29.76100,1.12650,300.06000,23.44000,195.75000,23.00000,22.69000,0
14.83052,29.76200,1.12610,300.13000,23.44000,195.81000,23.00000,22.69000,0
15.21922,29.76200,1.12580,300.31000,23.44000,195.81000,23.00000,22.69000,0
15.62561,29.76200,1.12550,300.38000,23.44000,195.81000,23.00000,22.69000,0
16.01579,29.76200,1.12510,300.50000,23.44000,195.69000,23.00000,22.69000,0
16.41916,29.76300,1.12480,300.63000,23.44000,195.63000,23.00000,22.69000,0
16.80848,29.76300,1.12450,300.63000,23.44000,195.56000,23.00000,22.69000,0
17.21412,29.76300,1.12420,300.75000,23.44000,195.50000,23.00000,22.69000,0
17.61643,29.76300,1.12390,300.88000,23.44000,195.38000,23.00000,22.69000,0
18.00640,29.76300,1.12350,300.94000,23.44000,195.38000,23.00000,22.69000,0
18.41154,29.76400,1.12320,301.06000,23.44000,195.38000,23.00000,22.69000,0
18.79884,29.76400,1.12290,301.31000,23.44000,195.31000,23.00000,22.69000,0
19.20200,29.76400,1.12260,301.38000,23.44000,195.38000,23.00000,22.69000,0
19.60530,29.76400,1.12230,301.50000,23.44000,195.44000,23.00000,22.69000,0
19.99505,29.76400,1.12200,301.63000,23.44000,195.50000,23.00000,22.69000,0
20.39881,29.76400,1.12170,301.81000,23.44000,195.50000,23.00000,22.69000,0
20.78863,29.76500,1.12140,301.94000,23.44000,195.50000,23.00000,22.69000,0
21.19115,29.76500,1.12110,302.06000,23.44000,195.50000,23.00000,22.69000,0
21.58447,29.76500,1.12080,302.19000,23.44000,195.50000,23.00000,22.69000,0
21.98846,29.76500,1.12050,302.31000,23.44000,195.56000,23.00000,22.69000,0
22.39340,29.76500,1.12020,302.38000,23.44000,195.69000,23.00000,22.69000,0
22.78386,29.76500,1.12000,302.50000,23.44000,195.75000,23.00000,22.69000,0
23.18825,29.76500,1.11970,302.69000,23.44000,195.88000,23.00000,22.69000,0
23.57809,29.76500,1.11940,302.75000,23.44000,195.88000,23.00000,22.69000,0
23.98259,29.76600,1.11910,302.75000,23.44000,195.94000,23.00000,22.69000,0
24.36844,29.76600,1.11880,302.94000,23.44000,195.94000,23.00000,22.69000,0
24.76850,29.76600,1.11850,303.06000,23.44000,195.94000,23.00000,22.69000,0
25.17643,29.76600,1.11830,303.13000,23.44000,195.94000,23.00000,22.69000,0
25.56406,29.76600,1.11800,303.25000,23.44000,195.94000,23.00000,22.69000,0
25.96955,29.76600,1.11770,303.38000,23.44000,195.94000,23.00000,22.69000,0
26.36258,29.76600,1.11740,303.44000,23.44000,196.00000,23.00000,22.69000,0
26.76979,29.76600,1.11720,303.63000,23.44000,196.06000,23.00000,22.69000,0
