Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3,FlipEvent
0.00300,29.06200,1.70620,122.31000,23.56000,99.06000,23.25000,22.62000,0
0.30852,29.05000,1.70140,122.31000,23.56000,99.06000,23.25000,22.62000,0
0.51278,29.04300,1.69710,122.31000,23.56000,99.06000,23.25000,22.62000,0
0.69855,29.03800,1.69300,122.31000,23.56000,99.06000,23.25000,22.62000,0
0.90012,29.03500,1.68930,122.31000,23.56000,99.06000,23.25000,22.62000,0
1.10171,29.03300,1.68560,122.31000,23.56000,99.06000,23.25000,22.62000,0
1.30376,29.03200,1.68200,122.31000,23.56000,99.06000,23.25000,22.56000,0
1.50612,29.03200,1.67860,122.31000,23.56000,99.06000,23.25000,22.56000,0
1.70780,29.03200,1.67530,122.44000,23.56000,99.06000,23.25000,22.56000,0
1.91041,29.03200,1.67200,122.44000,23.56000,99.06000,23.25000,22.56000,0
2.09594,29.03200,1.66880,122.69000,23.56000,99.06000,23.25000,22.56000,0
2.30002,29.03400,1.66570,122.87000,23.56000,99.06000,23.25000,22.56000,0
2.50180,29.03600,1.66270,122.87000,23.56000,99.06000,23.25000,22.56000,0
2.70423,29.03800,1.65970,123.19000,23.56000,99.19000,23.25000,22.56000,0
2.89159,29.04100,1.65680,123.56000,23.56000,99.25000,23.25000,22.56000,0
3.09121,29.04200,1.65390,123.56000,23.56000,99.25000,23.25000,22.56000,0
3.29410,29.04400,1.65100,123.94000,23.56000,99.37000,23.25000,22.56000,0
3.49679,29.04700,1.64820,124.31000,23.56000,99.37000,23.25000,22.56000,0
3.69822,29.05000,1.64550,124.31000,23.56000,99.50000,23.25000,22.56000,0
3.89714,29.05300,1.64280,124.69000,23.56000,99.62000,23.25000,22.56000,0
4.09887,29.05500,1.64010,125.19000,23.56000,99.62000,23.25000,22.56000,0
4.29961,29.05900,1.63750,125.19000,23.56000,99.75000,23.25000,22.56000,0
4.48585,29.06100,1.63490,125.69000,23.56000,99.87000,23.25000,22.56000,0
4.68798,29.06400,1.63230,126.12000,23.56000,99.87000,23.25000,22.56000,0
4.88836,29.06700,1.62980,126.12000,23.56000,100.00000,23.25000,22.56000,0
5.09065,29.07100,1.62730,126.69000,23.56000,100.12000,23.25000,22.56000,0
5.29068,29.07300,1.62480,127.25000,23.56000,100.12000,23.25000,22.56000,0
5.49171,29.07600,1.62230,127.25000,23.56000,100.25000,23.25000,22.56000,0
5.69306,29.08000,1.61990,127.81000,23.56000,100.25000,23.25000,22.56000,0
5.88011,29.08300,1.61750,128.31000,23.56000,100.37000,23.25000,22.56000,0
6.08178,29.08700,1.61510,128.31000,23.56000,100.50000,23.25000,22.56000,0
6.28329,29.09000,1.61270,128.94000,23.56000,100.50000,23.25000,22.56000,0
6.48579,29.09300,1.61040,129.56000,23.56000,100.62000,23.25000,22.56000,0
6.68808,29.09600,1.60820,129.56000,23.56000,100.75000,23.25000,22.56000,0
6.88913,29.10000,1.60580,130.19000,23.56000,100.75000,23.25000,22.56000,0
7.07736,29.10300,1.60360,130.75000,23.56000,100.94000,23.25000,22.56000,0
7.28007,29.10600,1.60130,130.75000,23.56000,100.94000,23.25000,22.56000,0
7.47908,29.10800,1.59910,131.44000,23.56000,101.06000,23.25000,22.56000,0
7.68256,29.11300,1.59690,131.44000,23.56000,101.19000,23.25000,22.56000,0
7.88371,29.11600,1.59470,132.06000,23.56000,101.19000,23.25000,22.56000,0
8.08504,29.11900,1.59250,132.75000,23.56000,101.44000,23.25000,22.56000,0
8.27263,29.12200,1.59030,132.75000,23.56000,101.69000,23.25000,22.56000,0
8.47516,29.12500,1.58820,133.38000,23.56000,101.69000,23.25000,22.56000,0
8.67805,29.12800,1.58610,134.06000,23.56000,101.81000,23.25000,22.56000,0
8.88068,29.13100,1.58400,134.06000,23.56000,101.81000,23.25000,22.56000,0
9.08220,29.13400,1.58190,134.69000,23.56000,102.00000,23.25000,22.56000,0
