Time,voltage,current,TH, Ttest, TM_1, TM_2, TM_3
0.00000,17.51000,0.96810,147.00000,103.37000,24.19000,58.13000,44.38000
0.32838,17.50700,0.96760,146.75000,103.37000,24.19000,58.13000,44.38000
0.51740,17.50500,0.96730,146.50000,103.37000,24.19000,58.13000,44.38000
0.71799,17.50300,0.96690,146.50000,103.37000,24.19000,58.13000,44.38000
0.91393,17.50200,0.96660,146.25000,103.37000,24.19000,58.13000,44.38000
1.12097,17.50100,0.96620,146.00000,103.31000,24.19000,58.13000,44.38000
1.31577,17.50000,0.96600,146.00000,103.31000,24.19000,58.13000,44.38000
1.51481,17.49900,0.96570,145.88000,103.31000,24.19000,58.13000,44.38000
1.71903,17.49900,0.96540,145.63000,103.25000,24.19000,58.13000,44.38000
1.91876,17.49800,0.96510,145.63000,103.25000,24.19000,58.13000,44.38000
2.11966,17.49800,0.96490,145.44000,103.19000,24.19000,58.13000,44.38000
2.31910,17.49700,0.96470,145.31000,103.12000,24.19000,58.13000,44.38000
2.51904,17.49700,0.96440,145.31000,103.12000,24.19000,58.13000,44.38000
2.71786,17.49600,0.96420,145.19000,103.06000,24.19000,58.13000,44.38000
2.91598,17.49600,0.96410,145.19000,103.06000,24.19000,58.13000,44.38000
3.11288,17.49600,0.96380,145.06000,103.06000,24.19000,58.13000,44.38000
3.31485,17.49600,0.96360,144.94000,103.06000,24.19000,58.13000,44.38000
3.50855,17.49600,0.96340,144.94000,103.06000,24.19000,58.13000,44.38000
3.71539,17.49500,0.96320,144.88000,103.00000,24.19000,58.13000,44.38000
3.91439,17.49500,0.96300,144.75000,103.00000,24.19000,58.13000,44.38000
4.11117,17.49500,0.96290,144.75000,103.00000,24.19000,58.13000,44.38000
4.31348,17.49500,0.96270,144.69000,103.00000,24.19000,58.13000,44.31000
4.50550,17.49500,0.96250,144.63000,103.00000,24.19000,58.13000,44.31000
4.71204,17.49500,0.96240,144.63000,103.00000,24.19000,58.13000,44.31000
4.90644,17.49500,0.96220,144.56000,103.00000,24.19000,58.13000,44.31000
5.10527,17.49500,0.96200,144.50000,103.00000,24.19000,58.13000,44.31000
5.31011,17.49500,0.96180,144.50000,103.00000,24.12000,58.13000,44.31000
5.51114,17.49500,0.96170,144.44000,103.00000,24.12000,58.13000,44.31000
5.70982,17.49500,0.96150,144.38000,103.00000,24.12000,58.13000,44.31000
5.90633,17.49500,0.96140,144.38000,102.94000,24.12000,58.13000,44.31000
