Time (s),Logical_PWM,Voltage (V),Current (A),Power (W)
0.67484,0.00000,0.00000,0.00000,0.00000
1.07359,0.00000,0.00000,0.00000,0.00000
1.47188,0.00000,0.00000,0.00000,0.00000
1.87046,0.00000,0.00000,0.00000,0.00000
2.26899,0.00000,0.00000,0.00000,0.00000
2.66716,0.00000,0.00000,0.00000,0.00000
3.06624,0.00000,0.00000,0.00000,0.00000
3.46485,0.00000,0.00000,0.00000,0.00000
3.86320,0.00000,0.00000,0.00000,0.00000
4.26129,0.00000,0.00000,0.00000,0.00000
4.65944,0.00000,0.00000,0.00000,0.00000
5.05746,0.00000,0.00000,0.00000,0.00000
5.45656,0.00000,0.00000,0.00000,0.00000
5.85572,0.00000,0.00000,0.00000,0.00000
6.25433,0.00000,0.00000,0.00000,0.00000
6.65242,0.00000,0.00000,0.00000,0.00000
7.05067,0.00000,0.00000,0.00000,0.00000
7.44925,0.00000,0.00000,0.00000,0.00000
7.84804,0.00000,0.00000,0.00000,0.00000
8.24664,0.00000,0.00000,0.00000,0.00000
9.04483,1.00000,0.08100,0.00550,0.00045
9.44280,1.00000,0.08100,0.00540,0.00044
9.84188,1.00000,0.08100,0.00540,0.00044
10.23926,1.00000,0.08100,0.00550,0.00045
10.63830,1.00000,0.08100,0.00520,0.00042
11.03711,1.00000,0.08100,0.00540,0.00044
11.43510,1.00000,0.08100,0.00540,0.00044
11.83325,1.00000,0.08100,0.00550,0.00045
12.23187,1.00000,0.08100,0.00550,0.00045
12.63053,1.00000,0.08100,0.00540,0.00044
13.02923,1.00000,0.08100,0.00540,0.00044
13.42757,1.00000,0.08100,0.00560,0.00045
13.82604,1.00000,0.08100,0.00560,0.00045
14.22465,1.00000,0.08100,0.00550,0.00045
14.62336,1.00000,0.08100,0.00550,0.00045
15.02150,1.00000,0.08100,0.00560,0.00045
15.41984,1.00000,0.08100,0.00550,0.00045
15.81852,1.00000,0.08100,0.00550,0.00045
16.21681,1.00000,0.08100,0.00550,0.00045
16.61542,1.00000,0.08100,0.00550,0.00045
17.41289,2.00000,0.19500,0.01200,0.00234
17.81150,2.00000,0.19500,0.01160,0.00226
18.20980,2.00000,0.19500,0.01180,0.00230
18.60850,2.00000,0.19500,0.01170,0.00228
19.00613,2.00000,0.19500,0.01190,0.00232
19.40523,2.00000,0.19500,0.01170,0.00228
19.80340,2.00000,0.19500,0.01190,0.00232
20.20207,2.00000,0.19500,0.01180,0.00230
20.60026,2.00000,0.19500,0.01160,0.00226
20.99867,2.00000,0.19500,0.01200,0.00234
21.39742,2.00000,0.19500,0.01180,0.00230
